"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Feb 14 23:32:11 GMT 2023","Tue Feb 14 23:32:20 GMT 2023","8658","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testFooterMenuLinksNavigateToCorrespondingPages","testFooterMenuLinksNavigateToCorrespondingPages",""
"passed","Tue Feb 14 23:48:26 GMT 2023","Tue Feb 14 23:48:35 GMT 2023","8841","Surefire suite","Surefire test","tests.MainTest","tests.MainTest","testH2Header_WhenSearchingCityCountryChain","testH2Header_WhenSearchingCityCountryChain",""
"passed","Tue Feb 14 23:24:20 GMT 2023","Tue Feb 14 23:24:31 GMT 2023","10715","Surefire suite","Surefire test","tests.HomeZipCodeDataNewTest","tests.HomeZipCodeDataNewTest","testErrorMessage_WhenLastNameIsEmpty_InBillingDetails","testErrorMessage_WhenLastNameIsEmpty_InBillingDetails",""
"passed","Tue Feb 14 23:36:30 GMT 2023","Tue Feb 14 23:36:39 GMT 2023","8995","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testEachTopMenuNavigatesToCorrespondingPage","testEachTopMenuNavigatesToCorrespondingPage",""
"passed","Tue Feb 14 23:37:59 GMT 2023","Tue Feb 14 23:38:09 GMT 2023","10007","Surefire suite","Surefire test","tests.TopMenuTest","tests.TopMenuTest","testMapsMenuNavigatesToWeatherMapsPage","testMapsMenuNavigatesToWeatherMapsPage",""
"passed","Tue Feb 14 23:44:45 GMT 2023","Tue Feb 14 23:44:55 GMT 2023","10139","Surefire suite","Surefire test","tests.HomeUsersSignInTest","tests.HomeUsersSignInTest","testSignInWithInvalidCredentials","testSignInWithInvalidCredentials","Allure report description: testing Login form with different parameters:"
"passed","Tue Feb 14 23:29:21 GMT 2023","Tue Feb 14 23:29:31 GMT 2023","10028","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testAboutUsFooterLinkNavigatesToAboutUsPage","testAboutUsFooterLinkNavigatesToAboutUsPage",""
"passed","Tue Feb 14 23:32:48 GMT 2023","Tue Feb 14 23:32:57 GMT 2023","8746","Surefire suite","Surefire test","tests.FooterMenuTest","tests.FooterMenuTest","testFooterMenuLinksNavigateToCorrespondingPages","testFooterMenuLinksNavigateToCorrespondingPages",""
"passed","Tue Feb 14 23:27:38 GMT 2023","Tue Feb 14 23:27:47 GMT 2023","8710","Surefire suite","Surefire test","tests.GuideTest","tests.GuideTest","testLearnMoreButtonsAmount","testLearnMoreButtonsAmount",""
"passed","Tue Feb 14 23:53:39 GMT 2023","Tue Feb 14 23:53:49 GMT 2023","9887","Surefire suite","Surefire test","tests.api.API_MainTest","tests.api.API_MainTest","test_API_HttpResponse_CurrentHumidityInParis","test_API_HttpResponse_CurrentHumidityInParis",""
