"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 16 01:17:47 GMT 2023","Thu Feb 16 01:18:01 GMT 2023","14231","Surefire suite","Surefire test","tests.HomeSignUpTest","tests.HomeSignUpTest","testErrorMessageWhenCreatingNewAccountWithoutCaptcha","testErrorMessageWhenCreatingNewAccountWithoutCaptcha",""
"passed","Thu Feb 16 01:18:01 GMT 2023","Thu Feb 16 01:18:15 GMT 2023","14308","Surefire suite","Surefire test","tests.HomeSignUpTest","tests.HomeSignUpTest","testPrivacyPolicySignUpLinkNavigatesToPrivacyPolicyPage","testPrivacyPolicySignUpLinkNavigatesToPrivacyPolicyPage",""
